CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
CARMINA 2,CARMINA 2,RÍO BRAVO,COAHUILA DE ZARAGOZA,ACUÑA,RÍO BRAVO 5,DATO PENDIENTE,LÓTICO,ARROYO,-101.06928,29.44931,2022,<2,Excelente,<10,Excelente,<10,Excelente,1076,Contaminada,41,Excelente,,,97.9,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLAGU13,PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,-102.41856,22.14165,2022,<2,Excelente,<10,Excelente,21.2,Excelente,288,Aceptable,41,Excelente,,,,,114.9,Buena calidad,56.6,Buena calidad,23.3,Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"OD%F,",SI,SI,SI,SI,SI,ND,NO,SI,LENTICO
DLAGU27M1,RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,RIO SAN PEDRO,LÓTICO (HUMEDAL),RÍO,-102.33361,21.84536,2022,112,Contaminada,173.64,Contaminada,40.9,Buena calidad,241960,Fuertemente contaminada,241960,Fuertemente contaminada,,,28,Contaminada,,,,,,,,,,,,,,,,,,,Rojo,"DBO,DQO,CF,E_COLI,OD%L,",NO,NO,SI,NO,NO,ND,NO,SI,LOTICO
DLAGU47,PRESA MALPASO 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA MALPASO,LÉNTICO (HUMEDAL),PRESA,-102.65304,21.85799,2022,5.5,Buena calidad,64.59,Contaminada,45.5,Buena calidad,695,Aceptable,<3,Excelente,,,,,149.2,Contaminada,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,OD%S,",SI,NO,SI,SI,SI,ND,NO,SI,LENTICO
DLBAJ103,LOS CABOS 1,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN LUCAS,BAHIA SAN LUCAS,COSTERO,BAHIA,-109.896574,22.876935,2022,,,,,10.3,Excelente,<3,Excelente,,,<3,Excelente,,,103.7,Excelente,,,102.7,Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLBAJ104,BAHIA CABO SAN LUCAS,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN LUCAS,BAHIA SAN LUCAS,COSTERO,BAHIA,-109.9025,22.88,2022,,,,,<10,Excelente,52,Excelente,,,<3,Excelente,,,103.8,Excelente,,,102.1,Excelente,,,,,,,,,<1,No Toxico,<1,No Toxico,Verde,,ND,ND,SI,SI,ND,SI,SI,SI,COSTERO
DLBAJ106W2,LAGUNA TODOS SANTOS - CENTRO DE LA LAGUNA,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,TODOS SANTOS,COSTERO,LAGUNA,-110.239019,23.439303,2022,,,,,<10,Excelente,24196,Fuertemente contaminada,,,<3,Excelente,,,120.3,Aceptable,,,119.9,Buena calidad,,,,,,,,,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",ND,ND,SI,NO,ND,SI,SI,SI,COSTERO
DLBAJ109,MANANTIAL SAN REGIS,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,TODOS SANTOS,LÓTICO,ARROYO,-110.22379,23.45805,2022,<2,Excelente,<10,Excelente,13.2,Excelente,1956,Contaminada,98,Excelente,,,81.6,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LOTICO
DLBAJ112,AGUA CALIENTE II,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SANTIAGO,SANTIAGO,LÓTICO,ARROYO,-109.80786,23.43995,2022,<2,Excelente,<10,Excelente,<10,Excelente,355,Aceptable,20,Excelente,,,108.9,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
DLBAJ120M1,BOCA DE LA SIERRA,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSÉ DEL CABO,SAN JOSE DEL CABO,LÓTICO (HUMEDAL),ARROYO,-109.8261,23.39128,2022,<2,Excelente,<10,Excelente,<10,Excelente,52,Excelente,<3,Excelente,,,120.7,Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
